Packet,Benchmark,Component,Percentile Rank,# Compatible Public Results,Intervals,ns/day (Average),Microarchitecture,Release Date,Atoms,Market,Natoms*ns/day,vendor_id,Mem Bandwidth. GB/s,Mem Channels,CPU MHz,CPU max MHz,L3 cache,Cache L3. KB,L2 cache,Cache L2. KB,Core(s) per socket,Thread(s) per core,Socket(s),Cores,Threads,wiki FP32,GFLOPS,Base TDP. W,Price.$
LAMMPS_23Jun2022,Model_20k_Atoms,AMD Ryzen 5 7600 6-Core,18th,7,0.1,6.8,Zen 4,Q1'23,19605,Desktop,133314,AuthenticAMD,208,5,3300,4550,32 MiB,32768,6 MiB,6144,6,2,1,6,12,32,633.6,65,229
LAMMPS_23Jun2022,Model_20k_Atoms,Intel Core i5-12400,15th,4,0.1,6.5,Alder Lake,Q1'22,19605,Desktop,127432.5,GenuineIntel,76.8,2,2500,4400,18 MiB,18432,7.5 MiB,7680,6,2,1,6,12,32,480,65,192
LAMMPS_23Jun2022,Model_20k_Atoms,AMD EPYC 7F32 8-Core,15th,4,0,6.4,Zen 2,Q2'20,19605,Server,125472,AuthenticAMD,204.8,8,3700,3900,128 MiB,131072,4 MiB,4096,8,2,1,8,16,32,947.2,180,2100
LAMMPS_23Jun2022,Model_20k_Atoms,AMD Ryzen 5 8400F 6-Core,15th,4,0,6.4,Zen 4,Q2'24,19605,Desktop,125472,AuthenticAMD,83.2,2,4100,4700,16 MiB,16384,6 MiB,6144,6,2,1,6,12,32,787.2,65,169
LAMMPS_23Jun2022,Model_20k_Atoms,AMD Ryzen AI 9 HX 370,15th,4,0.5,6.4,Zen 5,Q3'24,19605,Mobile,125472,AuthenticAMD,128,2,2000,5100,16 MiB,16384,12 MiB,12288,12,2,1,12,24,64,1536,28,0.01
LAMMPS_23Jun2022,Model_20k_Atoms,AMD Ryzen 5 8600G,15th,5,0.7,6.2,Zen 4,Q1'24,19605,Desktop,121551,AuthenticAMD,83.2,2,4200,4700,16 MiB,16384,6 MiB,6144,6,2,1,6,12,32,806.4,65,229
LAMMPS_23Jun2022,Model_20k_Atoms,Intel Core i5-14500,14th,4,0,5.9,Raptor Lake,Q1'24,19605,Desktop,115669.5,GenuineIntel,76.8,2,2600,5000,24 MiB,24576,11.5 MiB,11776,14,1.428571429,1,14,20,32,1164.8,65,232
LAMMPS_23Jun2022,Model_20k_Atoms,Intel Core i5-14400F,14th,5,0,5.6,Raptor Lake,Q1'24,19605,Desktop,109788,GenuineIntel,76.8,2,2500,4700,20 MiB,20480,9.5 MiB,9728,10,1.6,1,10,16,32,800,148,196
LAMMPS_23Jun2022,Model_20k_Atoms,Intel Core i5-12600K,13th,6,0.4,5.6,Alder Lake,Q4'21,19605,Desktop,109788,GenuineIntel,76.8,2,3700,4900,20 MiB,20480,9.5 MiB,9728,10,1.6,1,10,16,32,1184,150,289
LAMMPS_23Jun2022,Model_20k_Atoms,AMD Ryzen 5 5500,12th,6,0,5.2,Zen 3,Q2'22,19605,Desktop,101946,AuthenticAMD,51.2,2,3300,4200,16 MiB,16384,3 MiB,3072,6,2,1,6,12,32,633.6,65,159
LAMMPS_23Jun2022,Model_20k_Atoms,AMD Ryzen 5 5600X 6-Core,12th,7,0.6,5.1,Zen 3,Q4'20,19605,Desktop,99985.5,AuthenticAMD,51.2,2,3300,4200,16 MiB,16384,3 MiB,3072,6,2,1,6,12,32,633.6,65,299
LAMMPS_23Jun2022,Model_20k_Atoms,Intel Core i5-13400,12th,7,0.3,5.1,Raptor Lake,Q1'23,19605,Desktop,99985.5,GenuineIntel,76.8,2,2500,4600,20 MiB,20480,9.5 MiB,9728,10,1.6,1,10,16,32,800,65,221
LAMMPS_23Jun2022,Model_20k_Atoms,AMD Ryzen 7 PRO 5850U,11th,3,0,4.9,Zen 3,Q1'21,19605,Mobile,96064.5,AuthenticAMD,68.272,2,3200,4600,16 MiB,16384,4 MiB,4096,16,1,1,16,16,32,1638.4,15,0.01
LAMMPS_23Jun2022,Model_20k_Atoms,Intel Core i3-14100,11th,5,0,4.9,Raptor Lake,Q1'24,19605,Desktop,96064.5,GenuineIntel,76.8,2,3500,4700,12 MiB,12288,5 MiB,5120,4,2,1,4,8,32,448,60,134
LAMMPS_23Jun2022,Model_20k_Atoms,AMD Ryzen 7 PRO 6850U,11th,7,0.1,4.8,Zen 3,Q2'22,19605,Mobile,94104,AuthenticAMD,102.4,2,1900,4400,16 MiB,16384,4 MiB,4096,8,2,1,8,16,32,486.4,28,0.01
LAMMPS_23Jun2022,Model_20k_Atoms,Intel Core Ultra 7 155H,10th,6,0.2,4.7,Meteor Lake,Q4'23,19605,Mobile,92143.5,GenuineIntel,119.472,2,3800,4800,24 MiB,24576,32 MiB,32768,16,1.375,1,16,22,32,1945.6,115,503
LAMMPS_23Jun2022,Model_20k_Atoms,AMD EPYC 4124P 4-Core,10th,14,0,4.7,Zen 4,Q2'24,19605,Server,92143.5,AuthenticAMD,83.2,2,3800,5100,32 MiB,32768,4 MiB,4096,4,2,1,4,8,32,486.4,65,149
