,CPU MHz,Cache L3. KB,Cache L2. KB,Cores,Threads,Mem Bandwidth. GB/s,GFLOPS,Mem Channels,Price.$,performance_per_dollar,adjusted_cost_per_ns_atom,L3 per core,inv_CPU MHz,inv_Cache L3. KB,inv_Cache L2. KB,inv_Cores,inv_Threads,inv_Mem Bandwidth. GB/s,inv_GFLOPS,inv_Mem Channels,inv_Price.$,inv_performance_per_dollar,inv_adjusted_cost_per_ns_atom,inv_L3 per core,Natoms*ns/day
adjusted_cost_per_ns_atom,-0.5347083228099121,0.45274610917123137,0.5660369891695692,0.5609541632921813,0.6149934720495317,0.5322815586849484,0.4968160614429632,0.6756283778585215,0.817607815784853,-0.11285143724731415,1.0,0.046221540289435314,0.5064978640850681,-0.42213333870774095,-0.23774089586770145,-0.5395837152593455,-0.5695979606099265,-0.6356738179140178,-0.4707170609454958,-0.7949496943918873,-0.2731410855160588,0.9897793708393511,-0.5754100807187366,0.06931164565466737,0.5783889503057436
L3 per core,0.30640278697924345,0.2901833882328401,-0.08664229049413305,-0.04290336761511242,-0.04215844875812443,-0.009420270521512555,-0.05895439044660262,-0.005169284747205408,-0.03131329760045708,-0.026970732317676056,0.046221540289435314,1.0,-0.29143437662601135,-0.3160209666745577,0.015252493648803043,0.11035739684442811,0.062218864016184865,-0.02732382254622013,-0.00816469291794591,0.01876918201872157,-0.15097911984435153,0.02477494738872152,-0.11374448952891753,-0.6871038106977709,-0.02472198134265859
inv_CPU MHz,-0.9613980460942236,0.1981983899687138,0.42338077395410295,0.35905738206131027,0.39825755659147655,0.3223887863427467,0.26224884355250244,0.3665052465814785,0.48101913323867385,-0.0344418516289965,0.5064978640850681,-0.29143437662601135,1.0,-0.04305217023879346,-0.07919941140751116,-0.36166320533836205,-0.3473057915806012,-0.4530106408260849,-0.10625947958073408,-0.5287276789430828,0.09791630089113067,0.5462909629502256,-0.1611477260136767,0.3646598314753462,0.35563138389194127
inv_Cache L3. KB,0.07919757500400877,-0.40337597170648765,-0.428622270699498,-0.45528102680795396,-0.4714135904412248,-0.44201220754762377,-0.42012049145685243,-0.48002442338699153,-0.4726800534192968,0.029727036588991104,-0.42213333870774095,-0.3160209666745577,-0.04305217023879346,1.0,0.7532334166616119,0.7519983539985229,0.8014627694612695,0.656461664862117,0.7990898245478755,0.5701957205997963,0.4532519240409109,-0.44587716481259343,0.5658037777704618,0.4908685412644211,-0.5779789798822649
inv_Cache L2. KB,0.15483671383987782,-0.276060506438692,-0.36328419218983604,-0.3633076317426126,-0.3717922141099147,-0.357422014481481,-0.339048463741911,-0.3782166296359991,-0.3731542619992825,-0.01627463609257494,-0.23774089586770145,0.015252493648803043,-0.07919941140751116,0.7532334166616119,1.0,0.7640622247860596,0.7386468498580029,0.6988606223415605,0.7536696400628969,0.46018893164209623,0.15568108110643963,-0.28235357453416116,0.2105008709798614,0.07980198605829272,-0.46468313985140314
inv_Cores,0.41936044511397086,-0.4513325986769818,-0.5611945408668856,-0.5918107487545454,-0.6059948230976508,-0.5571826583115388,-0.5378045864014722,-0.6203855281686314,-0.6103442979986585,-0.05612684660486689,-0.5395837152593455,0.11035739684442811,-0.36166320533836205,0.7519983539985229,0.7640622247860596,1.0,0.9717681243150254,0.7523027601737969,0.8906936865507543,0.7380263298106111,0.13184584480725578,-0.5765435609606053,0.3545209124496239,-0.06627043265763352,-0.6956447714927443
inv_Threads,0.40281154970950017,-0.46376193741649685,-0.5671784170524374,-0.599584378025979,-0.6196849919597914,-0.5682981801934867,-0.5469809860944691,-0.637586343904374,-0.6268493162721513,-0.039696105231835845,-0.5695979606099265,0.062218864016184865,-0.3473057915806012,0.8014627694612695,0.7386468498580029,0.9717681243150254,1.0,0.7566932821335386,0.8868507427868164,0.7682773609512845,0.2037434025692194,-0.6051168559127627,0.44915749897926727,0.04127469531412214,-0.7105868079241635
inv_Mem Bandwidth. GB/s,0.4864545618459231,-0.5021806491783687,-0.6327932056580919,-0.6398245823901243,-0.6559431655268987,-0.6744632632268721,-0.5975227771899972,-0.7359386300844818,-0.68842941612583,-0.08209894587191248,-0.6356738179140178,-0.02732382254622013,-0.4530106408260849,0.656461664862117,0.6988606223415605,0.7523027601737969,0.7566932821335386,1.0,0.7265244866139214,0.8643753206404513,0.0986014486987663,-0.669063437855764,0.3676491061456498,0.010558853208223216,-0.7347562978787763
inv_GFLOPS,0.1485903757422447,-0.41684054869847714,-0.52063851115529,-0.5316733182876862,-0.5450256866553341,-0.5152129125556479,-0.5177419638154132,-0.5568948788867694,-0.5570614838058995,-0.02911060662168978,-0.4707170609454958,-0.00816469291794591,-0.10625947958073408,0.7990898245478755,0.7536696400628969,0.8906936865507543,0.8868507427868164,0.7265244866139214,1.0,0.6489713574811866,0.2376089787765494,-0.5033354900022378,0.37529469590081616,0.0828270961307704,-0.6647224659490553
inv_Mem Channels,0.594834212727572,-0.5272496326199803,-0.643254507528594,-0.6763831753926257,-0.6971351866585778,-0.697334288131053,-0.617651399311605,-0.8145263347528464,-0.7389244152142771,-0.07247128479434041,-0.7949496943918873,0.01876918201872157,-0.5287276789430828,0.5701957205997963,0.46018893164209623,0.7380263298106111,0.7682773609512845,0.8643753206404513,0.6489713574811866,1.0,0.1622131322984725,-0.8010681899765651,0.5256854017308452,-0.05779723399817122,-0.7384598774622786
inv_Price.$,-0.1081472173719174,0.013102265289185016,-0.011066352449639967,0.012211660637590353,-0.07191073352285424,0.055207273340143186,-0.003852101106432565,0.021875828573135057,-0.16746952748061433,0.5388489805206158,-0.2731410855160588,-0.15097911984435153,0.09791630089113067,0.4532519240409109,0.15568108110643963,0.13184584480725578,0.2037434025692194,0.0986014486987663,0.2376089787765494,0.1622131322984725,1.0,-0.24950198549006536,0.8144044178390693,0.39819934070993956,-0.13007068698608304
inv_performance_per_dollar,-0.5702668258156316,0.46646493927312443,0.5923493581181567,0.582513849797087,0.6449583197014368,0.5456138048058914,0.5179762488661075,0.6752273985192114,0.8552098024180331,-0.13443821578459952,0.9897793708393511,0.02477494738872152,0.5462909629502256,-0.44587716481259343,-0.28235357453416116,-0.5765435609606053,-0.6051168559127627,-0.669063437855764,-0.5033354900022378,-0.8010681899765651,-0.24950198549006536,1.0,-0.5299969666051533,0.07037824943596142,0.6242073167084934
inv_adjusted_cost_per_ns_atom,0.17087098229551875,-0.2634172948655851,-0.31990009664225577,-0.32416747038060606,-0.3527853765910679,-0.31718292974835677,-0.2935324695191435,-0.3931282504908691,-0.4058763821268315,0.18118129029178132,-0.5754100807187366,-0.11374448952891753,-0.1611477260136767,0.5658037777704618,0.2105008709798614,0.3545209124496239,0.44915749897926727,0.3676491061456498,0.37529469590081616,0.5256854017308452,0.8144044178390693,-0.5299969666051533,1.0,0.3398713437576947,-0.3850333237225937
inv_L3 per core,-0.3971876545287061,-0.32103917529942183,-0.01686551821936138,-0.062023099535183056,-0.06250717134847103,-0.09239197620435914,-0.053594957252392966,-0.029703805613045683,-0.019319607793370556,0.0311739129336764,0.06931164565466737,-0.6871038106977709,0.3646598314753462,0.4908685412644211,0.07980198605829272,-0.06627043265763352,0.04127469531412214,0.010558853208223216,0.0828270961307704,-0.05779723399817122,0.39819934070993956,0.07037824943596142,0.3398713437576947,1.0,-0.13533542987777164
Natoms*ns/day,-0.3964551839065514,0.6978766497701498,0.8786379810721727,0.8772667264058319,0.8990778005228379,0.8778431655017268,0.8803757397674273,0.8102507669381891,0.8732999648372667,0.11198303287116707,0.5783889503057436,-0.02472198134265859,0.35563138389194127,-0.5779789798822649,-0.46468313985140314,-0.6956447714927443,-0.7105868079241635,-0.7347562978787763,-0.6647224659490553,-0.7384598774622786,-0.13007068698608304,0.6242073167084934,-0.3850333237225937,-0.13533542987777164,1.0
